Course ID
AERO 2001
AERO 3240
AERO 3700
AERO 4003
AERO 4302
AERO 4306
AERO 4402
AERO 4446
AERO 4540
AERO 4608
AERO 4842
AFRI 1001
AFRI 2002
AFRI 2006
AFRI 3001
AFRI 3003
AFRI 3609
AFRI 3900
AFRI 4060
AFRI 4900
ASLA 1010
ASLA 1020
ASLA 2010
ASLA 3010
ASLA 4010
ANTH 1001
ANTH 1002
ANTH 2001
ANTH 2020
ANTH 2060
ANTH 2070
ANTH 2180
ANTH 2500
ANTH 2550
ANTH 2620
ANTH 2850
ANTH 2915
ANTH 3005
ANTH 3007
ANTH 3027
ANTH 3215
ANTH 3355
ANTH 3570
ANTH 3915
ANTH 4020
ANTH 4100
ANTH 4109
ANTH 4215
ANTH 4590
ANTH 4610
ANTH 4730
ANTH 4900
ANTH 4915
ALDS 1001
ALDS 2201
ALDS 2203
ALDS 2604
ALDS 2704
ALDS 3202
ALDS 3205
ALDS 3401
ALDS 3900
ALDS 3901
ALDS 3903
ALDS 4206
ALDS 4305
ALDS 4404
ALDS 4405
ALDS 4414
ALDS 4602
ALDS 4709
ALDS 4801
ALDS 4900
ALDS 4901
ALDS 4908
ARAB 1110
ARCY 1008
ARCS 1005
ARCS 2105
ARCS 2303
ARCS 3105
ARCS 3301
ARCS 3303
ARCS 4105
ARCS 4301
ARCC 2202
ARCC 2203
ARCC 3202
ARCC 3502
ARCC 4801
ARCN 2106
ARCN 4100
ARCH 1000
ARCH 2006
ARCH 2300
ARCH 4200
ARTH 1100
ARTH 1105
ARTH 1200
ARTH 2005
ARTH 2007
ARTH 2009
ARTH 2300
ARTH 2310
ARTH 2600
ARTH 2610
ARTH 2710
ARTH 2807
ARTH 3000
ARTH 3100
ARTH 3105
ARTH 3600
ARTH 3809
ARTH 3810
ARTH 3900
ARTH 4008
ARTH 4107
ARTH 4800
ARTH 4809
ARTH 4900
ARTH 4909
BIOC 2200
BIOC 2300
BIOC 2400
BIOC 3101
BIOC 3103
BIOC 3202
BIOC 3203
BIOC 3400
BIOC 4009
BIOC 4708
BIOC 4901
BIOC 4906
BIOC 4907
BIOC 4908
BIOL 1010
BIOL 1103
BIOL 1105
BIOL 1902
BIOL 2002
BIOL 2005
BIOL 2200
BIOL 2201
BIOL 2301
BIOL 2600
BIOL 3004
BIOL 3102
BIOL 3104
BIOL 3201
BIOL 3301
BIOL 3303
BIOL 3305
BIOL 3306
BIOL 3602
BIOL 3604
BIOL 3611
BIOL 3612
BIOL 3901
BIOL 4008
BIOL 4103
BIOL 4106
BIOL 4207
BIOL 4318
BIOL 4500
BIOL 4502
BIOL 4503
BIOL 4504
BIOL 4506
BIOL 4507
BIOL 4802
BIOL 4901
BIOL 4905
BIOL 4907
BIOL 4908
BUSI 1001
BUSI 1002
BUSI 1003
BUSI 1004
BUSI 1005
BUSI 1701
BUSI 1800
BUSI 1995
BUSI 2001
BUSI 2002
BUSI 2101
BUSI 2121
BUSI 2204
BUSI 2208
BUSI 2301
BUSI 2400
BUSI 2402
BUSI 2503
BUSI 2504
BUSI 2505
BUSI 2506
BUSI 2601
BUSI 2701
BUSI 2702
BUSI 2703
BUSI 2800
BUSI 2995
BUSI 3001
BUSI 3005
BUSI 3007
BUSI 3008
BUSI 3102
BUSI 3103
BUSI 3104
BUSI 3106
BUSI 3119
BUSI 3204
BUSI 3205
BUSI 3209
BUSI 3301
BUSI 3305
BUSI 3309
BUSI 3400
BUSI 3405
BUSI 3500
BUSI 3502
BUSI 3512
BUSI 3600
BUSI 3701
BUSI 3702
BUSI 3704
BUSI 3705
BUSI 3810
BUSI 3820
BUSI 3995
BUSI 4005
BUSI 4008
BUSI 4111
BUSI 4112
BUSI 4117
BUSI 4129
BUSI 4201
BUSI 4203
BUSI 4205
BUSI 4331
BUSI 4400
BUSI 4406
BUSI 4408
BUSI 4500
BUSI 4502
BUSI 4503
BUSI 4504
BUSI 4510
BUSI 4511
BUSI 4601
BUSI 4607
BUSI 4608
BUSI 4609
BUSI 4705
BUSI 4708
BUSI 4709
BUSI 4717
BUSI 4800
BUSI 4904
BUSI 4905
BUSI 4906
BUSI 4995
CDNS 1000
CDNS 1001
CDNS 1102
CDNS 2000
CDNS 2300
CDNS 3000
CDNS 3901
CDNS 4000
CDNS 4403
CDNS 4800
CDNS 4801
CDNS 4802
CDNS 4901
CDNS 4905
CDNS 4906
CDNS 4907
CHEM 0999

CHEM 1001
CHEM 1004
CHEM 1005
CHEM 1101
CHEM 2103
CHEM 2203
CHEM 2207
CHEM 2302
CHEM 2400
CHEM 3100
CHEM 3101
CHEM 3201
CHEM 3205
CHEM 3305
CHEM 3400
CHEM 3401
CHEM 3503
CHEM 3507
CHEM 3800
CHEM 4103
CHEM 4301
CHEM 4907
CHEM 4908
CHST 1003
CHST 2003
CHST 2011
CHST 3000
CHST 3002
CHST 3103
CHST 3202
CHST 3205
CHST 3302
CHST 3303
CHST 3904
CHST 4001
CHST 4900
CHST 4908
CHIN 1010
CHIN 1110
CHIN 3010
CIVE 2004
CIVE 2200
CIVE 2700
CIVE 3202
CIVE 3203
CIVE 3204
CIVE 3207
CIVE 3208
CIVE 3304
CIVE 4200
CIVE 4208
CIVE 4302
CIVE 4303
CIVE 4400
CIVE 4403
CIVE 4407
CIVE 4907
CIVE 4917
CIVE 4918
CLCV 1002
CLCV 1003
CLCV 1008
CLCV 2008
CLCV 2105
CLCV 2305
CLCV 2500
CLCV 2902
CLCV 2904
CLCV 3000
CLCV 3307
COOP 1000
CGSC 1001
CGSC 1005
CGSC 2001
CGSC 2002
CGSC 3004
CGSC 3201
CGSC 3301
CGSC 3501
CGSC 3601
CGSC 3704
CGSC 3908
CGSC 4801
CGSC 4802
CGSC 4900
CGSC 4908
CGSC 4909
CCDP 2004
CCDP 2100
CCDP 3003
CCDP 3006
COMS 1001
COMS 2003
COMS 2004
COMS 2200
COMS 2300
COMS 2700
COMS 3001
COMS 3002
COMS 3108
COMS 3109
COMS 3308
COMS 3310
COMS 3407
COMS 3410
COMS 3412
COMS 3500
COMS 3800
COMS 4006
COMS 4306
COMS 4312
COMS 4317
COMS 4403
COMS 4410
COMS 4411
